BDS,BDSTYPE,BRCC,BALLOC,BPOST,BTRKSPRI,BTRKSSEC,BDSORG,BRECFM,BLRECL,BBLKSIZE
ADATA,R,N,Y,N,3000,3000,PO,VB,8188,32760
ASM,R,Y,N,N,300,300,PO,FB,80,
ASMLANGX,R,N,Y,N,600,600,PO,VB,1562,
COPY,R,Y,N,N,100,100,PO,FB,80,
GVBDBRM,R,N,Y,Y,10,10,PO,FB,80,
GVBLOAD,X,N,Y,Y,2400,1200,PO,U,0,32760
LINKPARM,R,N,Y,N,10,10,PO,FB,80,
LISTASM,R,N,Y,N,1000,1000,PO,FBM,133,
LISTCOB,R,N,Y,N,300,300,PO,FBA,133,
LISTDB2,R,N,Y,N,300,300,PO,FBA,133,
LISTJOB,R,N,Y,N,1000,1000,PO,FB,255,
LISTLINK,R,N,Y,N,100,100,PO,FBA,121,
MAC,R,Y,N,N,50,50,PO,FB,80,    
OBJ,R,N,Y,N,100,100,PO,FB,80,
